ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Col,Metadata_FileLocation,Metadata_FileName,Metadata_Frame,Metadata_Plate,Metadata_Row,Metadata_Series,Metadata_Well,Children_Cells_Count,Children_FilteredNuclei_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
2,15,nan,020,nan,nan,0,u26a,000,0,A2,1,1,862.8031446540881,773.0704402515723,0,15
2,16,nan,020,nan,nan,0,u26a,000,0,A2,1,1,210.57155838255338,818.9018627896411,0,16
2,17,nan,020,nan,nan,0,u26a,000,0,A2,1,1,880.9806722689076,828.018487394958,0,17
2,18,nan,020,nan,nan,0,u26a,000,0,A2,0,0,31.5144,875.0744,0,18
2,19,nan,020,nan,nan,0,u26a,000,0,A2,1,1,711.5309427414691,920.0393290919607,0,19
2,20,nan,020,nan,nan,0,u26a,000,0,A2,1,1,85.5952380952381,926.2470238095239,0,20
3,1,nan,021,nan,nan,0,u26a,000,0,A2,0,0,216.29986181483187,44.808383233532936,0,1
3,2,nan,021,nan,nan,0,u26a,000,0,A2,0,0,886.5389221556886,53.96321642429427,0,2
3,3,nan,021,nan,nan,0,u26a,000,0,A2,0,0,37.16722408026756,100.2809364548495,0,3
3,4,nan,021,nan,nan,0,u26a,000,0,A2,1,1,717.0883371824481,146.36258660508082,0,4
3,5,nan,021,nan,nan,0,u26a,000,0,A2,1,1,91.28989751098096,151.58565153733528,0,5
3,6,nan,021,nan,nan,0,u26a,000,0,A2,0,0,61.525029103608844,226.0104772991851,0,6
3,7,nan,021,nan,nan,0,u26a,000,0,A2,1,1,713.40583090379,250.04781341107872,0,7
3,8,nan,021,nan,nan,0,u26a,000,0,A2,1,1,149.70637284097677,279.3097081596188,0,8
3,9,nan,021,nan,nan,0,u26a,000,0,A2,1,1,632.5097902097903,309.5769230769231,0,9
3,10,nan,021,nan,nan,0,u26a,000,0,A2,1,1,869.5535714285714,364.75892857142856,0,10
3,11,nan,021,nan,nan,0,u26a,000,0,A2,1,1,188.29848078641643,391.7613941018767,0,11
3,12,nan,021,nan,nan,0,u26a,000,0,A2,1,1,574.1737160120846,397.74244712990935,0,12
3,13,nan,021,nan,nan,0,u26a,000,0,A2,0,0,123.78448275862068,478.9324712643678,0,13
3,14,nan,021,nan,nan,0,u26a,000,0,A2,1,1,475.65193370165747,480.09185082872926,0,14
3,15,nan,021,nan,nan,0,u26a,000,0,A2,0,0,930.4854651162791,497.2848837209302,0,15
3,16,nan,021,nan,nan,0,u26a,000,0,A2,1,1,441.2432432432432,556.1560592850915,0,16
3,17,nan,021,nan,nan,0,u26a,000,0,A2,1,1,869.1216873985938,587.664142779881,0,17
3,18,nan,021,nan,nan,0,u26a,000,0,A2,1,1,305.0515916575192,598.9423710208562,0,18
3,19,nan,021,nan,nan,0,u26a,000,0,A2,0,0,56.97672485453034,623.8985868661679,0,19
3,20,nan,021,nan,nan,0,u26a,000,0,A2,1,1,117.92160278745645,702.1785714285714,0,20
3,21,nan,021,nan,nan,0,u26a,000,0,A2,1,1,324.05071225071225,714.7447293447293,0,21
3,22,nan,021,nan,nan,0,u26a,000,0,A2,1,1,623.1214057507988,717.6277955271565,0,22
3,23,nan,021,nan,nan,0,u26a,000,0,A2,1,1,610.5938995215311,780.6776315789474,0,23
